Ticker,Name,Weight,Shares,Price,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17
OTIS UN Equity,Otis Worldwide Corp,--,--,84.76,,,,,,,,,,,,,
BAX UN Equity,Baxter International Inc,--,--,21.97,,,,,,,,,,,,,
BDX UN Equity,Becton Dickinson & Co,--,--,175.405,,,,,,,,,,,,,
BRK/B UN Equity,Berkshire Hathaway Inc,--,--,473.92,,,,,,,,,,,,,
BBY UN Equity,Best Buy Co Inc,--,--,63.64,,,,,,,,,,,,,
BSX UN Equity,Boston Scientific Corp,--,--,105.31,,,,,,,,,,,,,
BMY UN Equity,Bristol-Myers Squibb Co,--,--,44.27,,,,,,,,,,,,,
BF/B UN Equity,Brown-Forman Corp,--,--,28.74,,,,,,,,,,,,,
CTRA UN Equity,Coterra Energy Inc,--,--,23.71,,,,,,,,,,,,,
HLT UN Equity,Hilton Worldwide Holdings Inc,--,--,261.27,,,,,,,,,,,,,
CCL UN Equity,Carnival Corp,--,--,28.88,,,,,,,,,,,,,
BLDR UN Equity,Builders FirstSource Inc,--,--,131.17,,,,,,,,,,,,,
UDR UN Equity,UDR Inc,--,--,38.58,,,,,,,,,,,,,
CLX UN Equity,Clorox Co/The,--,--,123.76,,,,,,,,,,,,,
PAYC UN Equity,Paycom Software Inc,--,--,227.88,,,,,,,,,,,,,
CMS UN Equity,CMS Energy Corp,--,--,74.24,,,,,,,,,,,,,
CL UN Equity,Colgate-Palmolive Co,--,--,83.27,,,,,,,,,,,,,
EPAM UN Equity,EPAM Systems Inc,--,--,151.49,,,,,,,,,,,,,
CAG UN Equity,Conagra Brands Inc,--,--,18.515,,,,,,,,,,,,,
ABNB UW Equity,Airbnb Inc,--,--,127.61,,,,,,,,,,,,,
ED UN Equity,Consolidated Edison Inc,--,--,104.57,,,,,,,,,,,,,
GLW UN Equity,Corning Inc,--,--,61.96,,,,,,,,,,,,,
GDDY UN Equity,GoDaddy Inc,--,--,157.48,,,,,,,,,,,,,
CMI UN Equity,Cummins Inc,--,--,355.74,,,,,,,,,,,,,
CZR UW Equity,Caesars Entertainment Inc,--,--,25.75,,,,,,,,,,,,,
DHR UN Equity,Danaher Corp,--,--,195.54,,,,,,,,,,,,,
TGT UN Equity,Target Corp,--,--,99.24,,,,,,,,,,,,,
WSM UN Equity,Williams-Sonoma Inc,--,--,187.22,,,,,,,,,,,,,
DE UN Equity,Deere & Co,--,--,502.44,,,,,,,,,,,,,
D UN Equity,Dominion Energy Inc,--,--,60.17,,,,,,,,,,,,,
TTD UQ Equity,Trade Desk Inc/The,--,--,84.91,,,,,,,,,,,,,
DOV UN Equity,Dover Corp,--,--,175.01,,,,,,,,,,,,,
LNT UW Equity,Alliant Energy Corp,--,--,65.37,,,,,,,,,,,,,
STLD UW Equity,Steel Dynamics Inc,--,--,122.365,,,,,,,,,,,,,
DUK UN Equity,Duke Energy Corp,--,--,123.26,,,,,,,,,,,,,
REG UW Equity,Regency Centers Corp,--,--,70.73,,,,,,,,,,,,,
ETN UN Equity,Eaton Corp PLC,--,--,379.6,,,,,,,,,,,,,
ECL UN Equity,Ecolab Inc,--,--,260.765,,,,,,,,,,,,,
RVTY UN Equity,Revvity Inc,--,--,87.49,,,,,,,,,,,,,
DELL UN Equity,Dell Technologies Inc,--,--,126.55,,,,,,,,,,,,,
EMR UN Equity,Emerson Electric Co,--,--,141.33,,,,,,,,,,,,,
EOG UN Equity,EOG Resources Inc,--,--,116.24,,,,,,,,,,,,,
AON UN Equity,Aon PLC,--,--,353.35,,,,,,,,,,,,,
ETR UN Equity,Entergy Corp,--,--,89.84,,,,,,,,,,,,,
EFX UN Equity,Equifax Inc,--,--,239.79,,,,,,,,,,,,,
EQT UN Equity,EQT Corp,--,--,52.42,,,,,,,,,,,,,
IQV UN Equity,IQVIA Holdings Inc,--,--,182.86,,,,,,,,,,,,,
IT UN Equity,Gartner Inc,--,--,328.96,,,,,,,,,,,,,
FDX UN Equity,FedEx Corp,--,--,217.17,,,,,,,,,,,,,
BRO UN Equity,Brown & Brown Inc,--,--,92.11,,,,,,,,,,,,,
F UN Equity,Ford Motor Co,--,--,10.755,,,,,,,,,,,,,
NEE UN Equity,NextEra Energy Inc,--,--,70.68,,,,,,,,,,,,,
BEN UN Equity,Franklin Resources Inc,--,--,23.84,,,,,,,,,,,,,
GRMN UN Equity,Garmin Ltd,--,--,215.74,,,,,,,,,,,,,
FCX UN Equity,Freeport-McMoRan Inc,--,--,39.77,,,,,,,,,,,,,
EXE UW Equity,Expand Energy Corp,--,--,102.41,,,,,,,,,,,,,
DXCM UW Equity,Dexcom Inc,--,--,80.0,,,,,,,,,,,,,
GD UN Equity,General Dynamics Corp,--,--,310.16,,,,,,,,,,,,,
GIS UN Equity,General Mills Inc,--,--,48.98,,,,,,,,,,,,,
GPC UN Equity,Genuine Parts Co,--,--,127.6,,,,,,,,,,,,,
ATO UN Equity,Atmos Energy Corp,--,--,156.17,,,,,,,,,,,,,
GWW UN Equity,WW Grainger Inc,--,--,925.69,,,,,,,,,,,,,
HAL UN Equity,Halliburton Co,--,--,21.52,,,,,,,,,,,,,
LHX UN Equity,L3Harris Technologies Inc,--,--,277.05,,,,,,,,,,,,,
DOC UN Equity,Healthpeak Properties Inc,--,--,16.98,,,,,,,,,,,,,
PODD UW Equity,Insulet Corp,--,--,285.18,,,,,,,,,,,,,
FTV UN Equity,Fortive Corp,--,--,46.69,,,,,,,,,,,,,
HSY UN Equity,Hershey Co/The,--,--,189.68,,,,,,,,,,,,,
SYF UN Equity,Synchrony Financial,--,--,67.41,,,,,,,,,,,,,
HRL UN Equity,Hormel Foods Corp,--,--,28.07,,,,,,,,,,,,,
AJG UN Equity,Arthur J Gallagher & Co,--,--,282.91,,,,,,,,,,,,,
MDLZ UW Equity,Mondelez International Inc,--,--,64.355,,,,,,,,,,,,,
CNP UN Equity,CenterPoint Energy Inc,--,--,38.94,,,,,,,,,,,,,
HUM UN Equity,Humana Inc,--,--,246.15,,,,,,,,,,,,,
WTW UW Equity,Willis Towers Watson PLC,--,--,314.85,,,,,,,,,,,,,
ITW UN Equity,Illinois Tool Works Inc,--,--,251.62,,,,,,,,,,,,,
CDW UW Equity,CDW Corp/DE,--,--,168.66,,,,,,,,,,,,,
TT UN Equity,Trane Technologies PLC,--,--,435.06,,,,,,,,,,,,,
IPG UN Equity,Interpublic Group of Cos Inc/The,--,--,24.24,,,,,,,,,,,,,
IFF UN Equity,International Flavors & Fragrances Inc,--,--,69.74,,,,,,,,,,,,,
GNRC UN Equity,Generac Holdings Inc,--,--,192.75,,,,,,,,,,,,,
NXPI UW Equity,NXP Semiconductors NV,--,--,208.61,,,,,,,,,,,,,
K UN Equity,Kellanova,--,--,79.92,,,,,,,,,,,,,
BR UN Equity,Broadridge Financial Solutions Inc,--,--,244.88,,,,,,,,,,,,,
KIM UN Equity,Kimco Realty Corp,--,--,20.82,,,,,,,,,,,,,
ORCL UN Equity,Oracle Corp,--,--,244.96,,,,,,,,,,,,,
KR UN Equity,Kroger Co/The,--,--,71.11,,,,,,,,,,,,,
LEN UN Equity,Lennar Corp,--,--,115.75,,,,,,,,,,,,,
LLY UN Equity,Eli Lilly & Co,--,--,759.14,,,,,,,,,,,,,
CHTR UW Equity,Charter Communications Inc,--,--,265.77,,,,,,,,,,,,,
L UN Equity,Loews Corp,--,--,90.13,,,,,,,,,,,,,
LOW UN Equity,Lowe's Cos Inc,--,--,226.26,,,,,,,,,,,,,
HUBB UN Equity,Hubbell Inc,--,--,422.03,,,,,,,,,,,,,
IEX UN Equity,IDEX Corp,--,--,159.07,,,,,,,,,,,,,
MMC UN Equity,Marsh & McLennan Cos Inc,--,--,198.35,,,,,,,,,,,,,
MAS UN Equity,Masco Corp,--,--,68.37,,,,,,,,,,,,,
